Materialnummer,Kurztext,Einkaufsbestelltext
665,Wellendichtring 35x62x7 B1SL,"Wellendichtring
35x62x7
B1SL"
666,Thermistor 3RN1011-1BB00 SIEMENS,"Thermistor-Motorschutz
3RN1011-1BB00
SIEMENS"
667,Servomotor 373E11Z2006S21,"Servomotor
Hersteller                BAELZ
Typbezeichnung            373 E11 Z-20-06-S21
Antriebsmoment            2000 Nm
Antriebsdrehzahl          6mm/min
Spannung                  230 V - 115 V
Isolierklasse             0-50°C - 0-75°C
Schutzart                 IP44"
668,Servomotor 1FT60621AH713AH1,"Synchron-Servomotor Drehantrieb
Hersteller                     SIEMENS
Typbezeichnung                 1FT6062-1AH71-3AH1
Mo:                            5,0 / 6,0Nm
Mh:                            3,6Nm
Antriebsdrehzahl N1            4.500,00 1/min
Spannung                       288V
Motorbremse                    24V / 17W"
669,GT-Motor KA37DRS80S4TH,"Getriebemotor
Hersteller                     SEW
Typbezeichnung                 KA37DRS80S4/TH
Motorleistung                  0,750 kW
Antriebsdrehzahl N1            1.400,00 1/min
Abtr.Drehzahl N2               206,00 1/min
Spannung                       230D/400Y
Bauform                        M4B
Isolierklasse                  F
Schutzart                      IP54
Ausführungsart                 Hohlwelle
Hohlwelle                      d = 30mm"
670,"Kette 081 12,70 1/2""x3,30mm DIN8187","Rollenkette
081
Teilung: 12,70mm (1/2"")
Innere Breite: 3,30mm
DIN 8187"
671,"O-Ring 33,30x2,40mm Viton FPM 85 Shore","O-Ring
33,30 x 2,40mm
WST: Viton FKM/FPM
85° Shore"
672,"Kettenrad B-2 5/8"" Z30 vorg.gehae.","Kettenrad
für Zweifach-Rollenkette B-2
5/8""
Z = 30
vorgebohrt
Zahnkranz gehärtet"
673,GT-Motor FA77DV100L4,"Getriebemotor
Hersteller                     SEW
Typbezeichnung                 FA77DV100L4
Motorleistung                  3,000 kW
Antriebsdrehzahl N1            1.400,00 1/min
Abtr.Drehzahl N2               37,00 1/min
Spannung                       230D/400Y
Bauform                        M1
Isolierklasse                  F
Schutzart                      IP54"
674,Mutter M8 DIN928 schw.,"Anschweißmutter
M8
DIN 928 schwarz"
675,PN-Zylinder ADN-25-30-A-P-A 536256 FESTO,"Kompaktzylinder
ADN-25-30-A-P-A
536256
FESTO"
676,PN-Zylinder ADN-25-50-A-P-A 536258 FESTO,"Kompaktzylinder
ADN-25-50-A-P-A
536258
FESTO"
677,Schraube M8x30 DIN912 10.9 schw.,"Zylinderschraube mit Innensechskant
M8 x 30
DIN 912
10.9
schwarz"
678,Lager 2217 KC3 SKF,"Lager
2217 KC3
SKF"
679,Servomotor 1PH71072HF030BB3,"Servomotor
Typbezeichnung                  1PH7107-2HF03-0BB3
Motorleistung                   9,000 kW
Antriebsdrehzahl N1             1.780,00  1/min
Bauform                         B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   F
Schutzart                       IP54
Motorbremse                     keine Bremse
Motorgeber                      rel HTL 1024 INKU
mit zusätzlichem Wellendichtring im Lagerdeckel versehen"
680,"Servomotor 1PH7103-2HF03  5,5kW  1500","Servomotor 1PH7103-2HF03-0BB3
1.Leistung                      5,5 kW
1.Antr.Drehzahl                 1.780,0  1/min
Bauform                         Fuß-/Flanschausführung B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   Iso-Kl.:F (tmax=155°C)
Schutzart                       IP54-Staubablag./Spritzwasser
Motorbremse                     keine Bremse
Motorgeber                      rel HTL 1024 INKU"
681,Servomotor 1PH7133-2HF03-0BB3,"Servomotor 1PH7133-2HF03-0BB3
1.Leistung                      15,00 kW
1.Antr.Drehzahl                 1.780,0  1/min
Bauform                         Fuß-/Flanschausführung B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   Iso-Kl.:F (tmax=155°C)
Schutzart                       IP54-Staubablag./Spritzwasser"
682,"Kettenrad B-2 1 1/4"" Z23 TLB 3030 gehae.","Kettenrad für Zweifach-Rollenkette
1 1/4"", Z23, für TL 3030
Zahnflanken gehärtet"
683,Kettenrad KR90D100 Z10 d=85H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130mm
aus S152-3, ungehärtet, mit Bohrung 85H7 ohne Nut"
684,Kettenrad KR90D100 Z10 d=90H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130mm
aus S152-3, ungehärtet, mit Bohrung 90H7 ohne Nut"
685,Servomotor 21586-088.34-3233-1 BUETTNER,"Servomotor
21586-088.34-3233-1
BUETTNER"
686,Servomotor 1FT60616AF713TA0,"Servomotor 		
Hersteller               Siemens		
Typenbezeichnung         1FT6061-6AF71-3TA0		
Motorleistung            1,100 kW		
Antriebsdrehzahl         3,000,00 1/min		
Spannung                 400V		
Bauform                  B5		
Isolierklasse            F		
Schutzart                IP64		
Leistungs-Signalstecker  Axial BS		
Resolver                 2-polig P=1"
687,Schraube M10x60H DIN444B 8.8,"Augenschraube
M10 x 60H
DIN 444B
10001815
VARISCO"
688,"O-Ring 339,30x5,70mm NBR70 Shore","O-Ring
339,3 x 5,7mm
WST: NBR
70 Shore"
689,Schraube M36x3x240 DIN912 12.9 schw.,"Zylinderschraube mit Innensechskant
M36 x 3 x 240
DIN 912
12.9
schwarz"
690,Mutter M36 LH 00746249 SIEMPELKAMP,"Sechskantmutter
M36 LH
Pos. 31
00746249
SIEMPELKAMP"
691,Wellendichtring 35x62x7 B1,"Wellendichtring
35x62x7
B1"
692,Schraube M20x130 DIN938 8.8 schw.,"Stiftschraube
M20 x 130
DIN 938
8.8
schwarz"
693,Mutter M8 DIN6923 8.8 verz.,"Mutter
M8
DIN 6923
8.8
verzinkt"
694,Schraube M12x40 DIN6912 10.9 schw.,"Zylinderschraube mit Innensechskant
M12 x 40
DIN 6912
10.9
schwarz"
695,Servomotor AG04B,"Servomotor
Hersteller                     PSE
Typbezeichnung                 AG04B
Leistung                       0,160 kW
Spannung [50Hz]                24V DC
Strom                          6,6 A"
696,PN-Zylinder ADN-25-40-I-P-A 536265 FESTO,"Kompaktzylinder
ADN-25-40-I-P-A
536265
FESTO"
697,Wellendichtring 35x65x12 BASL,"Wellendichtring
35x65x12
BASL"
698,Wellendichtring 35x62x10 BASL Viton,"Wellendichtring
35x62x10
BASL Viton"
699,Wellendichtring 35x62x8 BASL,"Wellendichtring
35x62x8
BASL"
700,Lager 23224 CC/W33-C4 SKF,"Lager
23224
CC/W33-C4
SKF"
701,"O-Ring 34,00x3,00mm EPDM 70Sh perox","O-Ring
34,00x3,00mm
EPDM 70Sh perox
900060128
KRONES"
702,Lager 180x225x22mm 61836 SKF,"Lager
180x225x22mm
61836
SKF"
703,Lager 215x170x22mm 61834 SKF,"Lager
215x170x22mm
61834
SKF"
704,Lager YAR214 SKF,"Lager
YAR214
SKF"
705,Lager BS222222RS5VT143 SKF,"Lager
BS222222RS5VT143
SKF"
706,Lager 22316 EKC3W33 SKF,"Lager
22316 EKC3W33
SKF"
707,Lager 23940 CC/W33 SKF,"Lager
23940 CC/W33
SKF"
708,Lager 22228CCK SKF,"Lager
22228CCK
SKF"
709,Lager 23134 E1AM SKF,"Lager
23134 E1AM
SKF"
710,Lager 23130CCK SKF,"Lager
23130CCK
SKF"
711,Lager YAT203 SKF,"Lager
YAT203
SKF"
712,Lager 16010 SKF,"Lager
16010
SKF"
713,Lager 2208EKTN9C3 SKF,"Lager
2208EKTN9C3
SKF"
714,Lager 23230 CCW33C3 SKF,"Lager
23230 CCW33C3
SKF"
715,"O-Ring 33,3mm 90Sh FKM NBR","O-Ring
33,3mm
90Sh
FKM NBR"
716,Lager 6313/C4 SKF,"Lager
6313/C4
SKF"
717,O-Ring 33x2-FKM80 0009632305 LINDE,"O-Ring
33x2-FKM80
0009632305
LINDE"
718,"Mutter M36x1,5-17H 9218201324 LINDE","Mutter
M36x1,5-17H
9218201324
LINDE"
719,Lager 61903 2Z SKF,"Rillenkugellager
61903 2Z
SKF"
720,"O-Ring 33,3x2x4mm NBR70 0009632319 LINDE","O-Ring
33,3 x 2 x 4 mm
NBR70
0009632319
LINDE"
721,"Mutter M36x1,5 DIN935-1 Stahl schw.","Kronenmutter
M36 x 1,5
DIN 935-1
6 Automatenstahl
schwarz"
722,GT-Motor FH77DRU100L4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 FH77DRU100L4TF
Leistung [kW]:                  2,200 kW
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            20,00 1/min
Getriebeübersetzung i:          75,020
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Baugröße:                       100L  (H=100mm/Gehäuseausf.:L)
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP65-Staubdicht/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE4 Super Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
723,GT-Motor R147DRN180M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R147DRN180M4
Leistung [kW]:                  18,500 kW
Antriebsmoment (max):           13.000,00 NM
Antriebsmoment (nenn):          6.320,00 NM
N1 Antriebsdrehzahl:            1.478,00 1/min
N2 Abtriebsdrehzahl:            28,00 1/min
Getriebeübersetzung i:          52,870
Spannung [50Hz]:                400D/690Y
Bauform:                        M1
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency"
724,GT-Motor KA19BTDRN80MK4EK8SPK,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KA19BTDRN80MK4EK8SPK
Leistung [kW]:                  0,550 kW
Antriebsmoment (max):           80,00 NM
N1 Antriebsdrehzahl:            1.745,00 1/min
N2 Abtriebsdrehzahl:            218,00 1/min
Getriebeübersetzung i:          8,010
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M2A
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Bremsgroesse:                   NM30/24
Energieeffizienzklasse:         IE3 Premium Efficiency"
725,GT-Motor DRN71M4BE05FTTH,"Getriebemotor
Herstellerteilenummer:          XXXX_SIEMPELKAMP
Hersteller:                     SEW
Typbezeichnung:                 DRN71M4BE05FTTH
Leistung [kW]:                  0,370 kW
Antriebsmoment (max):           56,00 NM
Antriebsmoment (nenn):          19,00 NM
N1 Antriebsdrehzahl:            1.415,00 1/min
Bauform:                        M1
Schutzart:                      IP55-Staubablage/Strahlwasser
Bremsgroesse:                   24 DC
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
726,GT-Motor 404157,"Getriebemotor
Hersteller:                     OTT
Typbezeichnung:                 404157
Antriebsmoment (max):           4,00 NM
Antriebsmoment (nenn):          0,50 NM
N1 Antriebsdrehzahl:            540,00 1/min
Spannung [50Hz]:                24
Schutzart:                      IP30-Fremdkörp>2,5mm/kein Wass
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         Unbekannt
Motorvollschutz (Thermofühler): Nein"
727,GT-Motor SA47DRE90M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 SA47DRE90M4
Leistung [kW]:                  1,100 kW
Antriebsmoment (nenn):          120,00 NM
N1 Antriebsdrehzahl:            1.420,00 1/min
N2 Abtriebsdrehzahl:            73,00 1/min
Getriebeübersetzung i:          19,540
Spannung [50Hz]:                220-242D/380-420Y
Bauform:                        M1A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE2 High Efficiency"
728,GT-Motor WAF30DRN80MK4TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 WAF30DRN80MK4TH
Leistung [kW]:                  0,550 kW
N1 Antriebsdrehzahl:            1.435,00 1/min
N2 Abtriebsdrehzahl:            175,00 1/min
Getriebeübersetzung i:          8,200
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M5A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
729,GT-Motor R60DT80K4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R60DT80K4TF
Leistung [kW]:                  0,550 kW
N1 Antriebsdrehzahl:            1.380,00 1/min
N2 Abtriebsdrehzahl:            48,00 1/min
Getriebeübersetzung i:          28,750
Spannung [50Hz]:                220D/380Y
Bauform:                        B3
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Motorvollschutz (Thermofühler): Ja"
730,Touch Panel 6AV2128-3MB06-0AX1 SIEMENS,"Touch Panel
12""
6AV2128-3MB06-0AX1
SIEMENS"
731,Lager 7306 BE-2RZP SKF,"Schrägkugellager
7306 BE-2RZP
SKF"
732,GT-Motor S37DRN63M4TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 S37 DRN63M4/TH
Leistung [kW]:                  0,180 kW
N1 Antriebsdrehzahl:            1.375,00 1/min
N2 Abtriebsdrehzahl:            126,00 1/min
Getriebeübersetzung i:          10,910
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M2A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Motorvollschutz (Thermofühler): Ja"
733,Lager NCF 2932 V SKF,"Zylinderrollenlager
NCF 2932 V
SKF"
734,Lager BC1-0313 SKF,"Lager
BC1-0313
SKF"
735,"Mutter M36x1,5 10007871 WEINIG","Mutter
M36 x 1,5
DA58 LG.7
10007871
WEINIG"
736,Lager 61832 2RSMW SKF,"Rillenkugellager
61832 2RS-MW
SKF"
737,Lager NJ2322ECML SKF,"Radial-Zylinderrollenlager
NJ-2322-ECML
SKF"
738,"O-Ring 33,2x2,4mm NBR70 0009632318 LINDE","O-Ring
33,2 x 2,4 mm
WST: NBR
70 Shore A
0009632318
LINDE"
739,Servomotor AKM32E-ACCNC-00,"Servomotor
Hersteller:                     KOLLMORGEN
Typbezeichnung:                 AKM32E-ACCNC-00
Leistung [kW]:                  0,100 kW
N1 Antriebsdrehzahl:            8.000,00 1/min
Antriebsmoment:                 2,04 NM
Spannung [50Hz]:                400V
Schutzart:                      IP54-Staubablage/Spritzwasser"
740,Lager YAR 215-2F SKF,"Spannlager
YAR 215-2F
SKF"
741,Lager 61907 2RZ SKF,"Rillenkugellager
61907 2RZ
SKF"
742,Lager NU 214 ECJ/C3 SKF,"Zylinderrollenlager
NU 214 ECJ/C3
SKF"
743,Lager 22328 CCKC3W33 SKF,"Pendelrollenlager
22328 CCK/C3W33
SKF"
744,Lager 6203 2RS1 VQ658 SKF,"Rillenkugellager
6203-2RS1-VQ658
SKF"
745,Mutter M36 ISO4032 5.2 schw.,"Mutter
M36
ISO4032
5.2
schwarz"
746,Lager 21311 EC3 SKF,"Pendelrollenlager
21311 E C3
SKF"
747,Servomotor 1FL60421AF612AA1,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FL6042-1AF61-2AA1
Leistung [kW]:                  0,400 kW
Leistung [PS]:                  0,540 PS
N1 Antriebsdrehzahl:            3.000,00 1/min
N1 Antriebsdrehzahl max.:       4.000,00 1/min
Antriebsmoment:                 1,90 Nm
Antriebsmoment max.:            3,80 Nm
Spannung [50Hz]:                400 V
Bauform:                        B5
Isolierklasse:                  Iso-Kl.: B (tmax=130°C)
Schutzart:                      IP65-Staubdicht/Strahlwasser"
748,GT-Motor KH107TDRN160M4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH107TDRN160M4TF
Leistung [kW]:                  11,000 kW
N1 Antriebsdrehzahl:            1.776,00 1/min
N2 Abtriebsdrehzahl:            18,00 1/min
Getriebeübersetzung i:          100,750
Spannung [60Hz]:                266/460
Bauform:                        M1-M2B
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP65-Staubdicht/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
749,Lager 61840 SKF,"Rillenkugellager
61840 SKF
61840 FAG"
750,Lager NJ 2203 ECP SKF,"Zylinderrollenlager
NJ2203ECP
SKF"
751,GT-Motor KH77DRN100L4KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77DRN100L4KCCTF
Leistung [kW]:                  3,000 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          1.010,00 NM
N1 Antriebsdrehzahl:            1.456,00 1/min
N2 Abtriebsdrehzahl:            28,00 1/min
Getriebeübersetzung i:          51,180
Spannung [50Hz]:                230D/400Y
Bauform:                        M1B
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
752,GT-Motor KH77DRN112M4KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77DRN112M4KCCTF
Leistung [kW]:                  4,000 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          1.340,00 NM
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            29,00 1/min
Getriebeübersetzung i:          51,180
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
753,GT-Motor KH77DRN100LS4BE5KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77DRN100LS4BE5KCCTF
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          740,00 NM
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            28,00 1/min
Getriebeübersetzung i:          51,180
Spannung [50Hz]:                230D/400Y
Bauform:                        M1B
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Motor-Bremse:                   Ja
Bremsgroesse:                   415VAC 28NM
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
754,GT-Motor KH67DRN100LS4BE5KCCTFEI7C,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH67DRN100LS4BE5KCCTFEI7C
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           870,00 NM
Antriebsmoment (nenn):          515,00 NM
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            41,00 1/min
Getriebeübersetzung i:          35,620
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Motor-Bremse:                   Ja
Bremsgroesse:                   415VAC 20NM
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
755,GT-Motor RF37DRN80M4TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 RF37DRN80M4TH
Leistung [kW]:                  0,750 kW
Antriebsmoment (max):           200,00 NM
Antriebsmoment (nenn):          96,00 NM
N1 Antriebsdrehzahl:            1.440,00 1/min
N2 Abtriebsdrehzahl:            75,00 1/min
Getriebeübersetzung i:          19,310
Spannung [50Hz]:                230D/400Y
Bauform:                        M4
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
756,"Getriebe  R77A i=7,74 SEW","Getriebe
Hersteller:                     SEW
Typbezeichnung:                 R77A
N1 Antriebsdrehzahl:            1.400,00 1/min
N2 Abtriebsdrehzahl:            181,00 1/min
Drehmoment:                     610,00 NM
Getriebeübersetzung i:          7,740
Bauform:                        M1
Getriebeausführung:             Stirnradgetriebe"
757,GT-Motor RF37DRN90L2TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 RF37 DRN90L2/TH
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           144,00 Nm
Antriebsmoment (nenn):          48,00 Nm
N1 Antriebsdrehzahl:            2.905,00 1/min
N2 Abtriebsdrehzahl:            436,00 1/min
Getriebeübersetzung i:          6,670
Spannung [50Hz]:                230D/400Y
Bauform:                        M6
Baugröße:                       90L (H=90mm/Gehäuseausf.:L)
Klemmkastenlage:                270° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
758,GT-Motor FA67DRN100LS4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 FA67 DRN100LS4/TF
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           495,00 Nm
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            43,00 1/min
Getriebeübersetzung i:          34,010
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Baugröße:                       100L (H=100mm/Gehäuseausf.:L)
Klemmkastenlage:                180° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
759,GT-Motor KH67DRN112M4BE5KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH67 DRN112M4/BE5/KCC/TF
Leistung [kW]:                  4,000 kW
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            83,00 1/min
Getriebeübersetzung i:          17,540
Spannung [50Hz]:                230D/400Y
Bauform:                        M3A
Baugröße:                       112M (H=112mm/Gehäuseausf.:M)
Klemmkastenlage:                180° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Motor-Bremse:                   BE5
Bremsgroesse:                   400V AC 55Nm
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
760,GT-Motor R67DRN112M4TFAL,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R67DRN112M4TFAL
Leistung [kW]:                  4,000 kW
Antriebsmoment (max):           550,00 Nm
Antriebsmoment (nenn):          390,00 Nm
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            98,00 1/min
Getriebeübersetzung i:          14,910
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M3
Baugröße:                       112M (H=112mm/Gehäuseausf.:M)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
761,Lager 3305 A SKF,"Schrägkugellager 2-reihig
3305 A
SKF"
762,GT-Motor R103DV160M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R103DV160M4
Leistung [kW]:                  11,000 kW
N1 Antriebsdrehzahl:            1.440,00 1/min
Abt.drehzahl pol-schaltbar N2:  42,00 1/min
Bauform:                        B3
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
763,GT-Motor KH77TDRN100LS4BE5TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77TDRN100LS4BE5TH
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          1.130,00 NM
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            19,00 1/min
Getriebeübersetzung i:          78,070
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Motor-Bremse:                   Ja
Bremsgroesse:                   230VAC 55NM
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
764,GT-Motor R97DRN132M4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R97DRN132M4TF
Leistung [kW]:                  7,500 kW
Antriebsmoment (nenn):          1.090,00 NM
N1 Antriebsdrehzahl:            1.468,00 1/min
N2 Abtriebsdrehzahl:            66,00 1/min
Getriebeübersetzung i:          22,370
Spannung [50Hz]:                230D/400Y
Baugröße:                       132
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
765,GT-Motor KA87DRN180L4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KA87 DRN180L4/TF
Leistung [kW]:                  22,000 kW
Antriebsmoment (max):           2.300,00 Nm
N1 Antriebsdrehzahl:            1.477,00 1/min
N2 Abtriebsdrehzahl:            76,00 1/min
Getriebeübersetzung i:          19,450
Spannung [50Hz]:                380-400D/660-690Y
Bauform:                        M3-M4A/45°
Baugröße:                       180L (H=180mm/Gehäuseausf.: L)
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
766,Servomotor AM8052-0L20-0000,"Servomotor
Herstellerteilenummer:          105061_BECKHOFF
Hersteller:                     Beckhoff
Typbezeichnung:                 AM8052-0L20-0000
N1 Antriebsdrehzahl:            7.300,00 1/min
Antriebsmoment:                 8,20 NM
Spannung [50Hz]:                400V
Bauform:                        B5
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
767,GT-Motor R97DRN132S4TFV,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R97DRN132S4TFV
Leistung [kW]:                  5,500 kW
Antriebsmoment (max):           3.000,00 NM
Antriebsmoment (nenn):          4.560,00 NM
N1 Antriebsdrehzahl:            1.461,00 1/min
N2 Abtriebsdrehzahl:            12,00 1/min
Getriebeübersetzung i:          126,750
Spannung [50Hz]:                230D/400Y
Bauform:                        M1
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Fremdlüfter:                    400V
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
